,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2021-05-04,Ried im Innkreis,2279.397152099332,360.0,89.0,2.0,11.262906320244554,0.8596864033711457,0.023778250466039,Austria
2021-05-11,Ried im Innkreis,2285.476222938609,331.0,41.0,1.0,10.12979340484304,0.8403214708554485,0.0238247401773318,Austria
2021-05-18,Ried im Innkreis,2252.4477858787336,338.0,45.0,0.0,10.453747542470095,0.8906653703974683,0.0208246296635657,Austria
2021-05-25,Ried im Innkreis,2279.3730487463035,336.0,42.0,0.0,10.604621443930789,0.8544392531752092,0.0234366726307955,Austria
2021-06-01,Ried im Innkreis,2315.315101710705,317.0,56.0,0.0,12.86590213380362,0.8094160579406253,0.0274820499447976,Austria
2021-06-08,Ried im Innkreis,2217.1318774919137,297.0,32.0,0.0,10.012596955329348,0.8491145431571329,0.0218062004849771,Austria
2021-06-15,Ried im Innkreis,2282.096184661037,315.0,5.0,0.0,9.453744941438533,0.8011201728880945,0.0240971716537141,Austria
2021-06-22,Ried im Innkreis,2217.906694157516,302.0,2.0,0.0,10.249725859097095,0.7969019614915785,0.0295801966236623,Austria
2021-06-29,Ried im Innkreis,2264.3058056147297,310.0,1.0,0.0,12.041827470271851,0.8169378130978824,0.0300610464328622,Austria
2021-07-06,Ried im Innkreis,2303.998777323319,305.0,2.0,0.0,13.786978420789726,0.7944978645808535,0.0271570193157478,Austria
2021-07-13,Ried im Innkreis,2249.222637425976,283.0,3.0,0.0,11.56908790837966,0.78563805125811,0.0275560517827886,Austria
2021-07-20,Ried im Innkreis,2218.298124018376,256.0,12.0,0.0,12.476775973441525,0.8069344161748404,0.0246626785990172,Austria
2020-09-01,Rohrbach,483.72241668219743,223.0,8.0,0.0,1.2070010019380386,1.616293458386037,0.0,Austria
2020-09-08,Rohrbach,479.9608150497711,193.0,4.0,0.0,1.5935815744792547,1.5289922126579618,0.0,Austria
2020-09-15,Rohrbach,500.5065090110845,143.0,3.0,0.0,1.7150786828164402,1.4412127109399842,0.0,Austria
2020-09-22,Rohrbach,508.3397230645583,172.0,6.0,0.0,2.293066337185804,1.4760550282068128,0.0,Austria
2020-09-29,Rohrbach,517.8976902397802,192.0,7.0,0.0,1.9783213151995611,1.517106826532476,0.0,Austria
2020-10-06,Rohrbach,495.0577301956596,224.0,43.0,0.0,1.6806267311567424,1.5325469943659056,0.0,Austria
2020-10-13,Rohrbach,503.25486446176245,225.0,86.0,0.0,1.4240231175116735,1.54075150162064,0.0,Austria
2020-10-20,Rohrbach,501.0776498582968,221.0,57.0,1.0,1.453203437580601,1.5872736693758556,0.0,Austria
2020-10-27,Rohrbach,494.0964423970859,216.0,269.0,0.0,1.23115470654738,1.6498260772385638,0.0,Austria
2020-11-03,Rohrbach,500.07873675371474,214.0,444.0,2.0,1.79918144747305,1.612336766738458,0.0,Austria
2020-11-10,Rohrbach,471.03972400513385,225.0,807.0,14.0,1.8353930058204229,1.7662252382563073,0.0,Austria
2020-11-17,Rohrbach,469.3139911832575,214.0,801.0,17.0,1.5189530946182317,1.806963413913214,0.0,Austria
2020-11-24,Rohrbach,470.2968728151167,218.0,424.0,17.0,1.4765273662309275,1.852322737966816,0.0,Austria
2020-12-01,Rohrbach,468.6055102930389,242.0,212.0,14.0,1.2576934221534737,1.819293327387149,0.0,Austria
2020-12-08,Rohrbach,474.45881213011006,224.0,101.0,8.0,1.488277678946298,1.8584605869642696,0.0,Austria
2020-12-15,Rohrbach,477.1528069858982,207.0,162.0,3.0,1.5174168705443116,1.6721857740191677,0.0,Austria
